G-1,翡翠劍任務線,騎士團們,大長老，要如何才能變得更幽默,大長老,這個嘛，我覺得你可以去問問看我們大家最愛的、風靡全王國的艾斯霸斯！,,,,0,0,0,
G-2,翡翠劍任務線,騎士團們,艾斯霸斯！你可以教我如何變幽默嘛？,艾斯霸斯,不語,,,,0,0,0,
G-3,翡翠劍任務線,騎士團們,為什麼艾斯霸斯不說話,大長老,怎麼突然這樣？他失去笑容了嗎？還是你要不要去問問歐菲斯司令，她前幾天才跟我說艾斯霸斯和劍⋯,,,,0,0,0,
G-4,翡翠劍任務線,騎士團們,我想問為何艾斯霸斯不笑了？,歐菲斯司令,我現在很無聊，來陪我活動一下筋骨吧！,謝謝你們陪我練功啊，你們剛剛說小丑艾斯霸斯嗎？這種事情我沒再care的啦，這都只有死人會管,,,500,200,0,
G-5,翡翠劍任務線,騎士團們,請問你知道艾斯罷斯怎麼了嗎？,溫德斯將軍之靈,恩⋯天機不可洩漏⋯如果我直接講了可能會害到你們，不然我們來發一些祝福的話，增加喜氣，以免洩漏天機害你們厄運降臨會遭殃,恭喜你們完成囉，其實將軍我在之前帶著我的翡翠劍在戰場上可是赤煞風雲，殺了很多人才幫助我以前的國王可以順利稱王，在我死前我將翡翠劍差在我們整個王國的龍之穴，以保護我們整個王國，但艾斯霸斯前幾天因為好奇，想學別人拔出石中劍，結果劍上面的冤魂們把小丑所有的開心都吸走了，所以他才這麼鬱鬱寡歡，我覺得其實你要改變一個人，可以先從他的外表開始，就像失戀的人也可以先重整好自己在面對新的未來一樣，至於要怎麼改變他的外表，我是不太有品味啦，你可以問問飛遜的瑟菲斯。,,,200,0,0,
G-6,翡翠劍任務線,騎士團們,你可以幫我改變艾斯霸斯的外表嗎？,瑟菲斯,你夠有品味我才幫你，你先來好好描述一下我每個精心設計是什麼,好啦，算你們會掰，我這邊是有一件衣服，覺得非常適合小丑，你們拿去吧,艾斯霸斯的衣服,,200,0,0,https://firebasestorage.googleapis.com/v0/b/msseed14th.appspot.com/o/item_xbox_cloth.png?alt=media&token=7893821f-f1bb-4996-b2db-3966a890901e
G-7,翡翠劍任務線,騎士團們,艾斯霸斯這個衣服給你穿,艾斯霸斯,謝謝⋯可是我覺得我好像喪失我的幽默能力了⋯我好像不如從前了⋯怎麼辦⋯可不可以幫幫我⋯沃德是消息通，他會不會知道該怎麼辦？,,,艾斯霸斯的衣服,0,0,0,
G-8,翡翠劍任務線,騎士團們,艾斯霸斯他說他不如從前了怎麼辦？,沃德,這個嘛，他是失去搞笑能力是不是，那我們來玩個遊戲好笑一下，晚點我跟你說要怎麼辦！,我是覺得阿克蠻好笑的你可以問她為什麼可以很好笑哈哈哈哈。,,,500,200,0,
G-9,翡翠劍任務線,騎士團們,聽說你蠻好笑的？,阿克,你好過分，怎麼可以歧視我的身材跟年齡不成正比⋯太過分了嗚嗚，我要跟長老告狀QAQ,,,,0,0,0,
G-10,翡翠劍任務線,騎士團們,阿克在哭怎麼辦,大長老,你們怎麼可以欺負阿克！這下糟糕了這時候只有艾斯霸斯可以逗阿克笑，你們帶著這頂搞笑的假髮去找艾斯霸斯讓他增加自信心，並告訴她可以用他本身就擁有的自身能力去幫助阿克！這個東西是消失不了的，只是突然遇到瓶頸！鼓勵她！,,搞笑的假髮,,0,0,0,https://firebasestorage.googleapis.com/v0/b/msseed14th.appspot.com/o/item_humor_wig.png?alt=media&token=84921fc4-26b6-4f89-810c-7cb021db1c79
G-11,翡翠劍任務線,騎士團們,這個假髮給你，阿克需要你，你本身就擁有能力可以去幫助阿克阿！,艾斯霸斯,好！我試試看，謝謝你們的鼓勵！我好像被充電了一樣，現在帶著我幽默的魔法去找阿克吧！而且我知道他喜歡玩遊戲！,,幽默的魔法,搞笑的假髮,0,0,0,https://firebasestorage.googleapis.com/v0/b/msseed14th.appspot.com/o/item_humor_magic.png?alt=media&token=caba8614-5dd8-4d84-ae9d-666a77ff50c9
G-12,翡翠劍任務線,騎士團們,我們來玩遊戲！,阿克,好，可是我要玩123鴕鳥人烏烏你會玩嗎？ 你們下次不要嘲笑別人太過分了，好啦其實幽默都是每個人與生俱來的，只要好好發揮自己的潛能，一定可以把特質發光發熱。,恭喜你們即將獲得 [ 幽默 ] 的特質，也可以獲得 [ 翡翠劍 ] ，在此之前我們一起跳個舞慶祝吧！,翡翠劍,幽默的魔法,700,400,0,https://firebasestorage.googleapis.com/v0/b/msseed14th.appspot.com/o/item_green_sword.png?alt=media&token=9c88f190-24fc-4c71-95b9-f6bd0fdd9a86
R-1,勃根地酒紅頭盔任務線,騎士團們,你是最聰明的人嗎？要怎麼樣才可以找到熱情？,大長老,我建議你，現在去找一位小男孩，他會是你的貴人。,,,,0,0,0,
R-2,勃根地酒紅頭盔任務線,騎士團們,你是阿克嗎？那個最聰明的人叫我來找你。,阿克,我現在有一個煩惱，你先聽我講完我再回答你的問題。就是我有一個喜歡的人，但我不知道他是怎麼想的，所以想寫首歌給他表達我的心意，你們幫我挑幾首歌吧!,好謝謝你們！對了我是阿克沒錯！但你們能夠再幫我一個忙嗎？幫我找找我的她，她是全王國最可愛的人。,,,200,0,0,
R-3,勃根地酒紅頭盔任務線,騎士團們,你是微王國最可愛的人嗎？,柯塔娜,(自顧自碎念不理眾人),,,,0,0,0,
R-4,勃根地酒紅頭盔任務線,騎士團們,為什麼柯塔娜一直自言自語不理人？,大長老,或許你在不知名的他那邊會得到答案。,,,,0,0,0,
